timestamp,side,price,quantity,fee
37.0,BUY,101.0277326559673,1,0.020205546531193462
42.0,SELL,99.20487130420796,1,0.019840974260841592
59.0,SELL,99.07207190157706,1,0.019814414380315414
61.0,BUY,101.50040206592584,1,0.020300080413185168
63.0,BUY,101.44130725808526,1,0.020288261451617055
71.0,SELL,99.24695812728685,1,0.01984939162545737
87.0,SELL,99.1123754960591,1,0.019822475099211822
95.0,BUY,101.67741906033432,1,0.020335483812066863
101.0,BUY,101.42191959913936,1,0.020284383919827873
106.0,SELL,98.87632914563856,1,0.019775265829127715
113.0,SELL,98.9699160975852,1,0.01979398321951704
130.0,BUY,102.50010175037858,1,0.020500020350075716
141.0,SELL,98.97705947222347,1,0.019795411894444694
146.0,BUY,102.92704461603329,1,0.020585408923206656
151.0,BUY,102.54331565295853,1,0.020508663130591707
157.0,SELL,98.97184684498735,1,0.01979436936899747
166.0,SELL,99.1532251971651,1,0.01983064503943302
178.0,BUY,102.92265978989047,1,0.020584531957978096
189.0,BUY,102.73684511736096,1,0.020547369023472192
202.0,SELL,99.38474300954748,1,0.019876948601909496
209.0,SELL,99.79823381347192,1,0.019959646762694384
224.0,BUY,102.63519056159036,1,0.020527038112318072
229.0,SELL,99.941353975181,1,0.019988270795036202
231.0,BUY,102.736600174032,1,0.0205473200348064
234.0,SELL,100.0437547291298,1,0.02000875094582596
244.0,BUY,103.11859402509825,1,0.02062371880501965
265.0,BUY,102.78056300751092,1,0.020556112601502186
275.0,SELL,99.57798711946592,1,0.019915597423893185
282.0,SELL,99.742486733712,1,0.0199484973467424
286.0,BUY,102.92256355520492,1,0.020584512711040986
311.0,SELL,100.03124397688588,1,0.020006248795377175
325.0,BUY,103.03669493342753,1,0.020607338986685507
334.0,SELL,100.62561718335972,1,0.020125123436671947
337.0,BUY,103.15962654579056,1,0.02063192530915811
346.0,BUY,103.00804443395654,1,0.02060160888679131
364.0,SELL,100.36304368074012,1,0.020072608736148023
374.0,SELL,100.78766728896971,1,0.020157533457793943
396.0,BUY,102.83295962732798,1,0.0205665919254656
413.0,SELL,100.5805920406742,1,0.02011611840813484
430.0,BUY,103.4350523353098,1,0.02068701046706196
453.0,SELL,100.69930200693352,1,0.020139860401386704
455.0,BUY,104.358803095707,1,0.0208717606191414
472.0,BUY,104.603734914727,1,0.0209207469829454
475.0,SELL,100.28930322159351,1,0.020057860644318703
480.0,SELL,100.78513774619437,1,0.020157027549238874
485.0,BUY,104.77232047089144,1,0.02095446409417829
495.0,SELL,100.6905000111083,1,0.02013810000222166
508.0,BUY,105.4864553809614,1,0.021097291076192282
513.0,BUY,105.24233763795802,1,0.021048467527591604
519.0,SELL,100.16688202842326,1,0.020033376405684655
531.0,BUY,105.67186751226896,1,0.021134373502453792
549.0,SELL,99.0488533953293,1,0.01980977067906586
564.0,SELL,99.49321691049232,1,0.019898643382098465
566.0,BUY,105.25620024182729,1,0.02105124004836546
568.0,BUY,105.15153957790903,1,0.021030307915581806
583.0,SELL,99.3174861056262,1,0.01986349722112524
591.0,BUY,104.44903110788496,1,0.020889806221576993
602.0,SELL,99.25928666806082,1,0.019851857333612166
615.0,SELL,99.6265849141422,1,0.019925316982828442
635.0,BUY,104.97084675434584,1,0.02099416935086917
646.0,BUY,105.115987575584,1,0.0210231975151168
649.0,SELL,99.349364866714,1,0.0198698729733428
651.0,SELL,99.64691697916332,1,0.019929383395832664
663.0,BUY,105.68010495389608,1,0.021136020990779218
673.0,BUY,105.60385276198792,1,0.021120770552397587
677.0,SELL,99.2071232969146,1,0.019841424659382923
707.0,SELL,99.223505063021,1,0.019844701012604198
712.0,BUY,106.39564565207198,1,0.021279129130414395
739.0,SELL,99.30987430863534,1,0.01986197486172707
741.0,BUY,106.7764721837912,1,0.02135529443675824
750.0,BUY,106.82713553680664,1,0.021365427107361327
756.0,SELL,98.656383626919,1,0.0197312767253838
762.0,SELL,98.86970810187891,1,0.019773941620375785
776.0,BUY,107.31643492408234,1,0.02146328698481647
800.0,SELL,99.46200504597314,1,0.019892401009194628
804.0,BUY,106.50044457378571,1,0.021300088914757143
842.0,BUY,105.8471058783486,1,0.021169421175669723
847.0,SELL,100.0932502419748,1,0.02001865004839496
854.0,SELL,100.0557281486701,1,0.02001114562973402
872.0,BUY,106.07603819517338,1,0.021215207639034676
875.0,SELL,100.27013836223736,1,0.020054027672447475
878.0,BUY,106.1791206948369,1,0.02123582413896738
880.0,SELL,100.61064630782252,1,0.020122129261564505
908.0,BUY,106.0627254486932,1,0.02121254508973864
911.0,SELL,102.01732485541052,1,0.020403464971082107
919.0,BUY,106.14803110234308,1,0.021229606220468617
958.0,SELL,102.17872916597211,1,0.020435745833194425
971.0,BUY,106.53475358483344,1,0.02130695071696669
978.0,BUY,106.70897071243336,1,0.021341794142486673
986.0,SELL,102.02540726806711,1,0.020405081453613423
